Идентификатор транзакции;Элементы транзакции
Чек №000001;Хлеб
Чек №000001;Молоко
Чек №000001;Масло
Чек №000002;Хлеб
Чек №000002;Сыр
Чек №000002;Колбаса
Чек №000003;Хлеб
Чек №000003;Молоко
Чек №000003;Йогурт
Чек №000004;Кофе
Чек №000004;Сахар
Чек №000004;Молоко
Чек №000005;Чай
Чек №000005;Печенье
Чек №000005;Шоколад
Чек №000006;Хлеб
Чек №000006;Колбаса
Чек №000006;Сыр
Чек №000007;Яйца
Чек №000007;Бекон
Чек №000007;Молоко
Чек №000008;Огурцы
Чек №000008;Помидоры
Чек №000008;Зелень
Чек №000009;Рыба
Чек №000009;Картофель
Чек №000009;Лимон
Чек №000010;Макароны
Чек №000010;Соус
Чек №000010;Сыр
Чек №000011;Курица
Чек №000011;Рис
Чек №000011;Специи
Чек №000012;Апельсины
Чек №000012;Бананы
Чек №000012;Йогурт
Чек №000013;Шоколад
Чек №000013;Кофе
Чек №000013;Молоко
Чек №000014;Сметана
Чек №000014;Картофель
Чек №000014;Лук
Чек №000015;Гречка
Чек №000015;Колбаса
Чек №000015;Сыр
Чек №000016;Творог
Чек №000016;Мед
Чек №000016;Орехи
Чек №000017;Морковь
Чек №000017;Свекла
Чек №000017;Капуста
Чек №000018;Рыба
Чек №000018;Оливковое масло
Чек №000018;Лимон
Чек №000019;Хлеб
Чек №000019;Масло
Чек №000019;Молоко
Чек №000020;Кофе
Чек №000020;Шоколад
Чек №000020;Сахар
Чек №000021;Йогурт
Чек №000021;Гранола
Чек №000021;Мед
Чек №000022;Мясо
Чек №000022;Картофель
Чек №000022;Лук
Чек №000023;Рис
Чек №000023;Специи
Чек №000023;Курица
Чек №000024;Хлеб
Чек №000024;Колбаса
Чек №000024;Сыр
Чек №000025;Макароны
Чек №000025;Соус
Чек №000025;Помидоры
Чек №000026;Огурцы
Чек №000026;Зелень
Чек №000026;Редис
Чек №000027;Бекон
Чек №000027;Яйца
Чек №000027;Хлеб
Чек №000028;Молоко
Чек №000028;Сахар
Чек №000028;Печенье
Чек №000029;Чай
Чек №000029;Сахар
Чек №000029;Лимон
Чек №000030;Бананы
Чек №000030;Апельсины
Чек №000030;Яблоки
Чек №000031;Орехи
Чек №000032;Морковь
Чек №000033;Свекла
Чек №000034;Капуста
Чек №000035;Рыба
Чек №000036;Оливковое масло
Чек №000036;Лимон
Чек №000036;Хлеб
Чек №000036;Масло
Чек №000037;Молоко
Чек №000037;Кофе
Чек №000037;Шоколад
Чек №000038;Сахар
Чек №000039;Йогурт
Чек №000039;Гранола
Чек №000040;Мед
Чек №000041;Мясо
Чек №000042;Картофель
Чек №000042;Лук
Чек №000042;Рис
Чек №000043;Специи
Чек №000043;Курица
Чек №000044;Хлеб
Чек №000044;Колбаса
Чек №000044;Сыр
Чек №000045;Зелень
Чек №000045;Рыба
Чек №000045;Картофель
Чек №000046;Лимон
Чек №000046;Макароны
Чек №000047;Соус
Чек №000047;Сыр
Чек №000047;Курица
Чек №000048;Рис
Чек №000048;Специи
Чек №000049;Апельсины
Чек №000049;Бананы
Чек №000050;Йогурт
Чек №000050;Шоколад
